"Owner","Certificate Issuer Organization","Certificate Issuer Organizational Unit","Common Name or Certificate Name","Certificate Serial Number","SHA-256 Fingerprint","Certificate ID","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm","Trust Bits","EV Policy OID(s)","Approval Bug","NSS Release When First Included","Firefox Release When First Included","URL to Test Website or Example Cert","Mozilla Applied Constraints","Company Website","Geographic Focus","Certificate Policy (CP)","Certification Practice Statement (CPS)","Standard Audit","BR Audit","EV Audit","Auditor","Standard Audit Type","Standard Audit Statement Dt"
"Actalis","Actalis S.p.A./03358520967","","Actalis Authentication Root CA","570a119742c4e3cc","55:92:60:84:EC:96:3A:64:B9:6E:2A:BE:01:CE:0B:A8:6A:64:FB:FE:BC:C7:AA:B5:AF:C1:55:B3:7F:D7:60:66","36:25:88:CB:73:6F:FC:A8:E8:CA:1A:48:5F:8D:0F:D3:FE:4A:32:A1:ED:B3:60:6E:71:A5:F2:F7:98:6A:4B:34","2011 Sep 22","2030 Sep 22","RSA 4096 bits","sha256WithRSAEncryption","Websites;Email;Code","1.3.159.1.17.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1176188","NSS 3.13.6","Firefox 16","https://ssltest-a.actalis.it:8443","None","http://www.actalis.it/","Italy","https://www.actalis.it/documenti-it/caact-free-s-mime-certificates-policy.aspx","https://www.actalis.it/documenti-en/cps-for-ssl-server-and-code-signing.aspx","http://www.actalis.it/documenti-en/actalisca_audit_statement.pdf","http://www.actalis.it/documenti-en/actalisca_audit_statement.pdf","http://www.actalis.it/documenti-en/actalisca_audit_statement.pdf","IMQ","ETSI TS 102 042","2016.10.07"
"Amazon","Amazon","","Amazon Root CA 1","066c9fcf99bf8c0a39e2f0788a43e696365bca","8E:CD:E6:88:4F:3D:87:B1:12:5B:A3:1A:C3:FC:B1:3D:70:16:DE:7F:57:CC:90:4F:E1:CB:97:C6:AE:98:19:6E","99:D5:D4:66:31:FE:07:C7:04:51:AF:F5:4A:D7:8F:56:A2:FA:84:FE:D8:47:B2:37:F8:D8:1F:84:5F:A8:8D:20","2015 May 26","2038 Jan 17","RSA 2048 bits","sha256WithRSAEncryption","Websites;Email","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.28.1","Firefox 51","","None","https://www.amazontrust.com/","USA, Global","https://www.amazontrust.com/repository/cp.pdf","https://www.amazontrust.com/repository/cps.pdf","https://cert.webtrust.org/SealFile?seal=1998&file=pdf","https://cert.webtrust.org/SealFile?seal=1999&file=pdf","https://cert.webtrust.org/SealFile?seal=2000&file=pdf","EY","WebTrust","2016.02.24"
"Amazon","Amazon","","Amazon Root CA 2","066c9fd29635869f0a0fe58678f85b26bb8a37","1B:A5:B2:AA:8C:65:40:1A:82:96:01:18:F8:0B:EC:4F:62:30:4D:83:CE:C4:71:3A:19:C3:9C:01:1E:A4:6D:B4","93:29:10:00:1C:D2:4A:7F:1F:48:3C:EF:FF:6D:26:8C:AA:D9:D9:3D:75:20:57:5E:FC:E0:05:7E:11:71:50:5C","2015 May 26","2040 May 26","RSA 4096 bits","sha384WithRSAEncryption","Websites;Email","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.28.1","Firefox 51","","None","https://www.amazontrust.com/","USA, Global","https://www.amazontrust.com/repository/cp.pdf","https://www.amazontrust.com/repository/cps.pdf","https://cert.webtrust.org/SealFile?seal=1998&file=pdf","https://cert.webtrust.org/SealFile?seal=1999&file=pdf","https://cert.webtrust.org/SealFile?seal=2000&file=pdf","EY","WebTrust","2016.02.24"
"Amazon","Amazon","","Amazon Root CA 3","066c9fd5749736663f3b0b9ad9e89e7603f24a","18:CE:6C:FE:7B:F1:4E:60:B2:E3:47:B8:DF:E8:68:CB:31:D0:2E:BB:3A:DA:27:15:69:F5:03:43:B4:6D:B3:A4","2F:AB:16:B8:43:25:52:96:39:A1:EC:AA:77:2A:39:81:4B:64:56:CA:68:E5:E0:17:E3:F9:A8:78:7E:25:0F:FC","2015 May 26","2040 May 26","EC secp256r1","ecdsaWithSHA256","Websites;Email","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.28.1","Firefox 51","","None","https://www.amazontrust.com/","USA, Global","https://www.amazontrust.com/repository/cp.pdf","https://www.amazontrust.com/repository/cps.pdf","https://cert.webtrust.org/SealFile?seal=1998&file=pdf","https://cert.webtrust.org/SealFile?seal=1999&file=pdf","https://cert.webtrust.org/SealFile?seal=2000&file=pdf","EY","WebTrust","2016.02.24"
"Amazon","Amazon","","Amazon Root CA 4","066c9fd7c1bb104c2943e5717b7b2cc81ac10e","E3:5D:28:41:9E:D0:20:25:CF:A6:90:38:CD:62:39:62:45:8D:A5:C6:95:FB:DE:A3:C2:2B:0B:FB:25:89:70:92","C9:B8:1D:09:BD:1E:2C:0B:56:D7:19:9B:11:2D:A2:B9:A4:A5:9D:E2:D0:86:8B:7D:E7:11:8E:04:FB:93:19:85","2015 May 26","2040 May 26","EC secp384r1","ecdsaWithSHA384","Websites;Email","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.28.1","Firefox 51","","None","https://www.amazontrust.com/","USA, Global","https://www.amazontrust.com/repository/cp.pdf","https://www.amazontrust.com/repository/cps.pdf","https://cert.webtrust.org/SealFile?seal=1998&file=pdf","https://cert.webtrust.org/SealFile?seal=1999&file=pdf","https://cert.webtrust.org/SealFile?seal=2000&file=pdf","EY","WebTrust","2016.02.24"
"Amazon","Starfield Technologies, Inc.","","Starfield Services Root Certificate Authority - G2","00","56:8D:69:05:A2:C8:87:08:A4:B3:02:51:90:ED:CF:ED:B1:97:4A:60:6A:13:C6:E5:29:0F:CB:2A:E6:3E:DA:B5","34:55:A4:C6:FB:EC:86:F4:F0:2B:35:A3:7B:5E:6C:F7:4C:35:AC:AC:1F:7A:A3:A0:56:BE:6E:65:6C:A1:7A:06","2009 Sep 01","2037 Dec 31","RSA 2048 bits","sha256WithRSAEncryption","Websites","2.23.140.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1172401","NSS 3.12.10","Firefox 6.0","https://good.sca0a.amazontrust.com/","None","https://www.amazontrust.com/","USA, Global","https://www.amazontrust.com/repository/cp.pdf","https://www.amazontrust.com/repository/cps.pdf","https://cert.webtrust.org/SealFile?seal=1998&file=pdf","https://cert.webtrust.org/SealFile?seal=1999&file=pdf","https://cert.webtrust.org/SealFile?seal=2000&file=pdf","EY","WebTrust","2016.02.24"
"AS Sertifitseerimiskeskuse (SK)","AS Sertifitseerimiskeskus","","EE Certification Centre Root CA","5480f9a073ed3f004cca89d8e371e64a","3E:84:BA:43:42:90:85:16:E7:75:73:C0:99:2F:09:79:CA:08:4E:46:85:68:1F:F1:95:CC:BA:8A:22:9B:8A:76","67:6F:5D:B3:D8:D0:D3:AD:70:7A:AA:86:9F:AD:EE:0E:CA:C4:4A:5D:9A:F7:CD:8D:DA:C3:A3:5B:E9:AF:E5:2B","2010 Oct 30","2030 Dec 17","RSA 2048 bits","sha1WithRSAEncryption","Websites;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=624356","NSS 3.14","Firefox 18","https://www.openxades.org/docportal/","","http://www.sk.ee/","Baltic region (Estonia, Lithuania, Latvia)","http://www.sk.ee/en/repository/CPS","http://www.sk.ee/en/repository/CPS","https://bugzilla.mozilla.org/attachment.cgi?id=8826692","https://bugzilla.mozilla.org/attachment.cgi?id=8826692","","TUVIT","ETSI EN 319 411","2016.11.25"
"Asseco Data Systems S.A. (previously Unizeto Certum)","Unizeto Sp. z o.o.","","Certum CA","010020","D8:E0:FE:BC:1D:B2:E3:8D:00:94:0F:37:D2:7D:41:34:4D:99:3E:73:4B:99:D5:65:6D:97:78:D4:D8:14:36:24","AA:63:15:C8:D0:FE:B5:3C:54:92:B7:50:F0:E4:80:84:0F:DD:33:F2:DE:EE:4B:03:D5:45:8C:B5:C0:7F:E8:DA","2002 Jun 11","2027 Jun 11","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=167572","NSS 3.9.3","Firefox 1","https://certum-ca.certum.pl","","http://www.certum.eu/","Poland","http://www.certum.eu/certum/179898.xml","http://www.certum.eu/certum/179898.xml","https://cert.webtrust.org/SealFile?seal=2064&file=pdf","https://cert.webtrust.org/SealFile?seal=2066&file=pdf","","Ernst & Young","WebTrust","2016.06.10"
"Asseco Data Systems S.A. (previously Unizeto Certum)","Unizeto Technologies S.A.","Certum Certification Authority","Certum Trusted Network CA","0444c0","5C:58:46:8D:55:F5:8E:49:7E:74:39:82:D2:B5:00:10:B6:D1:65:37:4A:CF:83:A7:D4:A3:2D:B7:68:C4:40:8E","99:99:7F:52:9F:36:18:B4:AF:9C:33:CA:FF:D9:28:2E:D7:E2:2C:D4:53:79:E3:C8:28:ED:AC:4D:04:C1:69:ED","2008 Oct 22","2029 Dec 31","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email;Code","1.2.616.1.113527.2.5.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=532377","NSS 3.12.10","Firefox 6.0","https://certum-ctnca-ev.certum.pl","","http://www.certum.eu/","Poland","http://www.certum.eu/certum/179898.xml","http://www.certum.eu/certum/179898.xml","https://cert.webtrust.org/SealFile?seal=2064&file=pdf","https://cert.webtrust.org/SealFile?seal=2066&file=pdf","https://cert.webtrust.org/SealFile?seal=2065&file=pdf","Ernst & Young","WebTrust","2016.06.10"
"Asseco Data Systems S.A. (previously Unizeto Certum)","Unizeto Technologies S.A.","Certum Certification Authority","Certum Trusted Network CA 2","21d6d04a4f250fc93237fcaa5e128de9","B6:76:F2:ED:DA:E8:77:5C:D3:6C:B0:F6:3C:D1:D4:60:39:61:F4:9E:62:65:BA:01:3A:2F:03:07:B6:D0:B8:04","B0:43:D1:B4:FD:46:F2:B8:7E:32:30:8B:B7:07:CC:70:B2:AE:EC:7D:72:D0:79:AF:E5:45:BC:A0:5D:03:CB:BF","2011 Oct 06","2046 Oct 06","RSA 4096 bits","sha512WithRSAEncryption","Websites;Email","1.2.616.1.113527.2.5.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=999378","NSS 3.23","Firefox 46","https://valid-certum-ctnca2.certificates.certum.pl/","None","http://www.certum.eu/","Poland","http://www.certum.eu/certum/179898.xml","http://www.certum.eu/certum/179898.xml","https://cert.webtrust.org/SealFile?seal=2064&file=pdf","https://cert.webtrust.org/SealFile?seal=2066&file=pdf","https://cert.webtrust.org/SealFile?seal=2065&file=pdf","Ernst & Young","WebTrust","2016.06.10"
